NPC ID,NPC friendliness,NPC item value,NPC quest value,NPC gender,NPC class,NPC area level,User ID,User level,User class,Interaction length,Interaction text exchanges,Interaction quests acquired,Interaction transactions
322,106.62,4,2,F,Fighter,40,83926,44,Mage,12.18,15,3,5
332,17.3,3,-2,F,Thief,10,34787,7,Fighter,10.57,16,4,1
335,69.66,2,-1,F,Fighter,30,20787,28,Mage,10.84,16,3,5
328,70.74,-2,0,F,Thief,30,87423,28,Thief,10.43,15,3,4
335,67.95,2,-1,F,Fighter,30,23459,25,Fighter,10.99,17,3,5
335,74.49,2,-1,F,Fighter,30,39207,30,Thief,11.01,16,3,5
301,102.89,-2,5,F,Fighter,40,59768,44,Mage,12.5,14,3,4
338,98.87,4,-5,F,Fighter,40,84287,36,Thief,12.5,13,3,5
303,38.71,0,1,M,Thief,10,73789,5,Mage,9.49,16,4,2
312,55.66,4,5,M,Mage,10,41079,6,Mage,7.6,15,3,3
302,70.42,2,-5,F,Mage,10,55745,10,Mage,7.31,16,3,3
316,0.0,0,-3,F,Thief,30,27597,34,Thief,8.22,16,3,6
311,83.73,-2,-5,M,Mage,10,28832,7,Mage,5.63,16,2,3
350,69.86,5,5,F,Mage,40,81722,40,Mage,11.36,14,3,5
343,47.75,1,-4,M,Mage,10,11542,10,Mage,9.31,17,4,2
301,100.54,-2,5,F,Fighter,40,63631,39,Thief,11.82,15,3,4
320,15.53,-5,4,F,Fighter,40,52842,37,Fighter,9.33,17,3,5
345,60.11,-5,-4,M,Fighter,30,11814,28,Fighter,10.2,17,3,5
348,82.63,-3,1,F,Thief,30,82807,28,Thief,11.28,15,3,4
301,86.2,-2,5,F,Fighter,40,15105,45,Fighter,12.31,14,4,4
314,72.41,-2,-2,F,Fighter,30,67018,27,Thief,9.72,17,3,5
326,43.07,-1,-1,M,Mage,20,15297,17,Fighter,8.89,17,3,2
332,3.54,3,-2,F,Thief,10,85309,11,Thief,10.73,17,4,2
319,73.47,0,-3,M,Mage,40,66187,37,Mage,11.69,15,3,5
339,76.73,5,3,F,Fighter,10,31251,8,Mage,4.98,14,1,4
333,45.51,-2,5,F,Fighter,30,76828,31,Fighter,10.43,16,3,4
350,82.79,5,5,F,Mage,40,20902,44,Thief,12.3,14,3,5
312,49.17,4,5,M,Mage,10,37481,8,Fighter,7.0,15,2,3
324,1.73,-5,0,M,Fighter,40,16495,37,Fighter,9.86,17,3,5
310,10.77,-1,-5,F,Mage,30,26825,35,Fighter,8.69,17,3,5
344,80.5,4,1,M,Fighter,20,64974,17,Mage,5.95,14,2,3
304,20.17,3,-5,M,Thief,10,67356,7,Thief,10.27,16,5,1
348,80.72,-3,1,F,Thief,30,72240,33,Fighter,11.1,16,3,4
302,69.31,2,-5,F,Mage,10,56849,8,Thief,7.61,17,3,3
329,63.72,0,-1,F,Mage,10,65579,12,Thief,5.69,13,2,3
314,70.05,-2,-2,F,Fighter,30,38685,27,Fighter,10.13,17,3,5
342,102.92,5,1,M,Mage,40,26362,43,Mage,11.66,17,3,5
320,22.73,-5,4,F,Fighter,40,10264,43,Mage,10.42,16,3,5
328,56.52,-2,0,F,Thief,30,83045,26,Mage,9.98,15,3,5
345,47.12,-5,-4,M,Fighter,30,81250,35,Fighter,9.63,15,3,4
318,69.04,3,2,F,Mage,30,88777,34,Fighter,11.0,16,3,4
334,49.34,0,1,M,Fighter,40,73486,40,Mage,11.57,17,3,5
349,29.27,3,-1,M,Fighter,30,83921,35,Fighter,10.77,15,3,5
346,103.63,-3,5,F,Fighter,30,88385,31,Fighter,11.99,15,3,4
334,64.51,0,1,M,Fighter,40,22723,41,Fighter,11.02,16,3,5
343,28.94,1,-4,M,Mage,10,43442,8,Fighter,9.1,15,4,2
338,89.32,4,-5,F,Fighter,40,44819,38,Fighter,11.39,16,3,5
307,54.46,-5,-3,M,Mage,30,64615,28,Mage,9.62,17,3,4
321,98.97,0,-1,F,Mage,30,76107,33,Mage,11.87,15,3,4
338,88.09,4,-5,F,Fighter,40,74736,38,Fighter,12.29,15,3,5
332,10.93,3,-2,F,Thief,10,82622,8,Fighter,10.98,17,5,2
312,54.84,4,5,M,Mage,10,12461,10,Fighter,6.63,16,3,3
333,42.87,-2,5,F,Fighter,30,40492,30,Mage,9.91,17,3,5
302,59.87,2,-5,F,Mage,10,87382,11,Mage,7.36,16,3,3
349,31.55,3,-1,M,Fighter,30,71073,26,Fighter,9.61,17,3,5
305,36.25,0,-2,F,Thief,30,57436,26,Fighter,7.79,17,3,5
312,50.44,4,5,M,Mage,10,86605,9,Fighter,6.66,16,2,3
320,12.92,-5,4,F,Fighter,40,18847,40,Mage,9.58,17,3,5
349,42.02,3,-1,M,Fighter,30,81290,29,Thief,9.88,17,3,5
302,51.06,2,-5,F,Mage,10,87102,5,Mage,7.46,16,3,3
343,41.68,1,-4,M,Mage,10,25790,13,Fighter,8.72,17,3,2
347,0.0,5,0,F,Mage,10,44481,8,Fighter,10.62,15,5,1
313,45.81,5,-5,F,Thief,10,34087,12,Thief,8.61,15,3,3
350,81.28,5,5,F,Mage,40,37653,40,Mage,11.73,16,3,5
329,68.19,0,-1,F,Mage,10,60001,11,Thief,5.57,15,2,3
333,52.28,-2,5,F,Fighter,30,41707,29,Fighter,8.67,17,3,5
310,12.91,-1,-5,F,Mage,30,57436,26,Fighter,7.45,14,2,5
302,62.75,2,-5,F,Mage,10,70947,13,Mage,7.15,17,2,3
347,4.02,5,0,F,Mage,10,68024,14,Mage,11.09,16,5,1
318,62.37,3,2,F,Mage,30,73528,28,Thief,10.98,17,3,5
307,40.91,-5,-3,M,Mage,30,65317,33,Fighter,10.63,16,3,5
302,67.86,2,-5,F,Mage,10,76966,13,Fighter,6.89,14,3,3
326,46.28,-1,-1,M,Mage,20,47090,21,Mage,8.61,16,3,5
301,95.42,-2,5,F,Fighter,40,33872,45,Fighter,11.59,15,3,4
335,82.82,2,-1,F,Fighter,30,57566,30,Mage,10.92,17,3,5
310,0.62,-1,-5,F,Mage,30,75698,35,Mage,8.69,17,3,5
344,73.63,4,1,M,Fighter,20,43424,23,Mage,10.83,17,3,5
318,80.11,3,2,F,Mage,30,84667,28,Thief,11.44,16,3,5
340,26.15,3,0,F,Thief,20,24513,22,Thief,7.68,17,2,5
340,23.03,3,0,F,Thief,20,24845,16,Fighter,9.27,16,4,1
325,12.81,-3,2,F,Fighter,30,47138,33,Thief,8.4,17,3,5
334,71.34,0,1,M,Fighter,40,44819,38,Fighter,11.32,15,3,5
338,101.08,4,-5,F,Fighter,40,14683,37,Thief,12.02,14,3,5
323,11.34,-2,3,F,Mage,30,20887,28,Mage,6.98,15,3,6
349,37.16,3,-1,M,Fighter,30,73438,31,Fighter,8.35,16,3,5
329,78.31,0,-1,F,Mage,10,73789,5,Mage,6.15,14,2,3
310,9.92,-1,-5,F,Mage,30,70834,35,Thief,9.46,17,3,5
327,80.11,-4,2,M,Mage,20,31712,16,Thief,4.11,13,1,3
346,108.71,-3,5,F,Fighter,30,33609,35,Fighter,12.17,15,3,4
320,3.33,-5,4,F,Fighter,40,67017,35,Mage,9.54,16,3,5
324,14.69,-5,0,M,Fighter,40,58474,36,Thief,9.63,18,3,5
312,65.57,4,5,M,Mage,10,34787,7,Fighter,7.13,16,3,3
335,63.84,2,-1,F,Fighter,30,27138,30,Thief,11.42,14,3,5
331,105.85,2,-5,F,Mage,40,63673,45,Fighter,11.98,14,3,5
350,83.68,5,5,F,Mage,40,89408,41,Fighter,11.75,15,3,5
348,96.93,-3,1,F,Thief,30,57345,25,Fighter,10.45,17,3,4
328,65.94,-2,0,F,Thief,30,16599,32,Fighter,10.83,17,3,4
303,46.47,0,1,M,Thief,10,46955,10,Thief,9.28,17,4,2
337,55.02,-1,1,F,Thief,40,81250,35,Fighter,10.5,17,3,5
307,38.58,-5,-3,M,Mage,30,38265,26,Thief,10.11,16,3,4
321,99.54,0,-1,F,Mage,30,86602,25,Thief,11.47,14,3,5
341,0.0,-2,3,F,Fighter,10,59661,13,Thief,11.72,15,5,1
312,61.59,4,5,M,Mage,10,87102,5,Mage,7.07,15,3,3
321,94.63,0,-1,F,Mage,30,36793,29,Mage,12.4,15,3,5
332,15.18,3,-2,F,Thief,10,77968,9,Fighter,10.5,16,5,1
327,92.49,-4,2,M,Mage,20,26828,22,Thief,11.16,16,3,4
321,87.14,0,-1,F,Mage,30,22426,30,Mage,11.74,16,4,5
319,62.89,0,-3,M,Mage,40,18835,38,Mage,11.36,15,3,4
307,60.38,-5,-3,M,Mage,30,65317,33,Fighter,10.36,15,3,5
309,30.39,-5,-3,M,Thief,40,53775,43,Mage,10.82,16,3,5
345,47.89,-5,-4,M,Fighter,30,40451,25,Mage,9.4,17,3,4
313,42.88,5,-5,F,Thief,10,31403,15,Mage,8.41,16,3,3
317,93.34,4,2,M,Thief,40,11367,35,Thief,11.73,14,3,5
322,103.89,4,2,F,Fighter,40,70643,38,Fighter,12.47,15,3,5
344,76.07,4,1,M,Fighter,20,31980,17,Thief,5.29,15,2,3
350,63.86,5,5,F,Mage,40,29767,40,Fighter,11.42,15,3,5
336,12.15,-5,1,F,Thief,40,64525,44,Fighter,9.22,16,3,5
348,89.09,-3,1,F,Thief,30,65317,33,Fighter,12.5,14,3,4
310,23.87,-1,-5,F,Mage,30,67045,30,Thief,8.3,16,3,6
328,62.28,-2,0,F,Thief,30,52712,32,Mage,10.06,17,3,5
325,19.66,-3,2,F,Fighter,30,86000,34,Mage,8.63,17,3,5
344,74.37,4,1,M,Fighter,20,15368,22,Thief,9.92,16,3,5
317,88.37,4,2,M,Thief,40,57759,39,Thief,11.74,13,4,5
301,88.04,-2,5,F,Fighter,40,32315,44,Thief,12.15,17,3,4
309,34.27,-5,-3,M,Thief,40,12073,38,Fighter,10.3,15,3,5
325,1.47,-3,2,F,Fighter,30,67018,27,Thief,7.23,17,3,5
301,98.85,-2,5,F,Fighter,40,47409,36,Mage,12.5,14,3,4
309,44.61,-5,-3,M,Thief,40,71618,41,Mage,11.16,15,3,5
304,23.14,3,-5,M,Thief,10,86605,9,Fighter,10.01,17,4,1
342,109.66,5,1,M,Mage,40,13109,38,Mage,11.56,15,3,5
313,45.3,5,-5,F,Thief,10,44443,10,Mage,7.83,16,3,2
345,49.64,-5,-4,M,Fighter,30,44352,31,Thief,9.63,16,3,5
335,78.44,2,-1,F,Fighter,30,88841,34,Fighter,11.04,15,3,5
307,37.48,-5,-3,M,Mage,30,48725,29,Fighter,9.72,17,3,4
337,47.79,-1,1,F,Thief,40,59768,44,Mage,10.32,16,3,5
339,75.67,5,3,F,Fighter,10,31773,6,Thief,3.77,14,1,3
347,11.61,5,0,F,Mage,10,13111,13,Thief,11.74,18,5,1
318,85.08,3,2,F,Mage,30,73528,28,Thief,11.13,17,3,5
338,90.23,4,-5,F,Fighter,40,81661,39,Fighter,12.5,15,4,5
319,67.84,0,-3,M,Mage,40,58311,39,Mage,11.17,16,3,5
304,5.13,3,-5,M,Thief,10,31874,8,Thief,10.41,17,4,1
336,12.6,-5,1,F,Thief,40,11421,38,Fighter,8.94,17,3,5
336,14.18,-5,1,F,Thief,40,88494,36,Fighter,8.05,17,3,5
339,93.87,5,3,F,Fighter,10,15416,13,Mage,3.85,12,1,4
335,69.38,2,-1,F,Fighter,30,83921,35,Fighter,11.47,14,4,5
321,107.15,0,-1,F,Mage,30,72240,33,Fighter,11.5,16,3,4
338,94.54,4,-5,F,Fighter,40,53013,38,Mage,12.27,15,3,5
308,92.82,-2,5,F,Mage,20,44784,22,Thief,12.03,15,3,4
311,70.89,-2,-5,M,Mage,10,69632,14,Fighter,5.62,16,2,3
347,4.1,5,0,F,Mage,10,84217,6,Fighter,12.05,16,5,1
329,73.4,0,-1,F,Mage,10,46955,10,Thief,6.12,16,2,3
323,0.0,-2,3,F,Mage,30,83921,35,Fighter,8.42,16,3,6
331,103.69,2,-5,F,Mage,40,81250,35,Fighter,11.75,16,4,5
327,82.23,-4,2,M,Mage,20,44784,22,Thief,10.88,15,3,4
304,8.25,3,-5,M,Thief,10,56849,8,Thief,10.65,16,5,1
336,20.06,-5,1,F,Thief,40,67017,35,Mage,9.01,16,3,5
350,62.3,5,5,F,Mage,40,15064,45,Fighter,11.82,14,3,5
308,88.73,-2,5,F,Mage,20,31653,22,Mage,11.9,16,3,4
342,94.74,5,1,M,Mage,40,19512,41,Fighter,12.13,16,3,5
310,11.78,-1,-5,F,Mage,30,52136,34,Thief,8.89,17,3,5
331,108.57,2,-5,F,Mage,40,88541,39,Mage,12.39,17,3,5
333,55.16,-2,5,F,Fighter,30,15888,27,Mage,9.02,16,3,5
338,85.84,4,-5,F,Fighter,40,42042,38,Fighter,11.25,15,3,5
304,4.95,3,-5,M,Thief,10,78851,12,Thief,10.65,16,4,1
312,49.62,4,5,M,Mage,10,37809,13,Mage,6.36,16,2,3
312,53.62,4,5,M,Mage,10,72950,12,Thief,6.86,16,2,3
303,48.46,0,1,M,Thief,10,40692,15,Fighter,9.13,17,4,2
304,14.06,3,-5,M,Thief,10,44566,9,Thief,11.07,15,5,1
342,95.8,5,1,M,Mage,40,13892,41,Fighter,12.38,14,3,5
347,7.0,5,0,F,Mage,10,37473,5,Thief,11.76,16,5,1
319,82.86,0,-3,M,Mage,40,51279,38,Thief,11.78,16,3,5
325,1.55,-3,2,F,Fighter,30,17433,28,Mage,8.32,16,2,5
329,80.15,0,-1,F,Mage,10,30929,9,Mage,5.86,14,2,3
313,50.09,5,-5,F,Thief,10,36916,5,Mage,8.21,16,3,3
345,54.89,-5,-4,M,Fighter,30,11682,25,Thief,9.67,16,3,5
322,107.79,4,2,F,Fighter,40,16311,42,Fighter,12.45,15,3,5
324,11.38,-5,0,M,Fighter,40,24800,44,Thief,10.55,16,3,5
342,91.8,5,1,M,Mage,40,33606,42,Thief,11.44,14,3,5
350,82.5,5,5,F,Mage,40,33609,35,Fighter,11.53,15,3,5
310,12.75,-1,-5,F,Mage,30,48331,25,Mage,7.73,16,2,5
331,107.21,2,-5,F,Mage,40,15768,43,Fighter,11.9,14,3,5
343,46.4,1,-4,M,Mage,10,41730,7,Thief,9.7,17,3,2
314,69.74,-2,-2,F,Fighter,30,87960,34,Mage,10.85,16,3,5
335,73.24,2,-1,F,Fighter,30,78198,35,Thief,11.28,16,3,5
317,80.51,4,2,M,Thief,40,87591,36,Mage,12.0,16,3,4
338,101.08,4,-5,F,Fighter,40,73241,36,Fighter,12.16,16,3,4
314,53.89,-2,-2,F,Fighter,30,64615,28,Mage,10.74,16,3,4
313,48.29,5,-5,F,Thief,10,68983,15,Mage,7.99,17,3,2
337,48.25,-1,1,F,Thief,40,35103,45,Mage,11.69,16,3,5
348,91.75,-3,1,F,Thief,30,44352,31,Thief,11.32,15,3,4
334,54.19,0,1,M,Fighter,40,77239,38,Fighter,11.31,16,4,5
338,103.89,4,-5,F,Fighter,40,16311,42,Fighter,11.59,17,3,5
304,13.85,3,-5,M,Thief,10,33339,11,Thief,11.1,16,4,1
338,107.99,4,-5,F,Fighter,40,17523,45,Thief,12.34,16,3,5
346,121.26,-3,5,F,Fighter,30,35847,29,Mage,11.86,15,3,4
316,0.0,0,-3,F,Thief,30,24191,32,Thief,7.65,17,3,6
313,40.59,5,-5,F,Thief,10,38000,12,Thief,7.48,17,3,2
337,53.41,-1,1,F,Thief,40,87591,36,Mage,10.71,17,3,4
320,1.19,-5,4,F,Fighter,40,83921,35,Fighter,9.35,15,3,5
335,72.16,2,-1,F,Fighter,30,82682,30,Mage,11.09,16,3,4
327,82.39,-4,2,M,Mage,20,62533,19,Thief,3.97,13,2,3
346,117.63,-3,5,F,Fighter,30,70785,34,Thief,12.19,14,3,4
337,42.65,-1,1,F,Thief,40,85310,40,Thief,10.2,17,3,5
309,25.07,-5,-3,M,Thief,40,88494,36,Fighter,9.98,18,3,5
331,107.18,2,-5,F,Mage,40,76430,43,Mage,11.69,16,3,4
337,59.22,-1,1,F,Thief,40,35033,37,Mage,11.26,16,3,5
333,45.91,-2,5,F,Fighter,30,45657,34,Thief,10.78,15,3,5
318,80.26,3,2,F,Mage,30,33518,31,Thief,11.75,14,3,4
318,84.21,3,2,F,Mage,30,17527,32,Mage,10.89,16,3,5
329,77.62,0,-1,F,Mage,10,47012,11,Fighter,6.28,17,2,3
336,21.49,-5,1,F,Thief,40,57280,43,Fighter,9.85,17,3,5
340,19.83,3,0,F,Thief,20,44061,18,Fighter,9.43,17,4,1
318,81.25,3,2,F,Mage,30,65235,26,Mage,9.97,15,3,5
349,45.22,3,-1,M,Fighter,30,82682,30,Mage,9.43,17,3,5
301,86.88,-2,5,F,Fighter,40,21918,44,Mage,11.48,15,3,4
331,100.91,2,-5,F,Mage,40,67621,35,Fighter,12.5,14,3,5
312,61.05,4,5,M,Mage,10,37473,5,Thief,6.94,16,3,3
345,55.41,-5,-4,M,Fighter,30,89979,30,Fighter,9.01,17,3,5
310,21.78,-1,-5,F,Mage,30,79228,34,Thief,8.77,16,3,5
305,26.8,0,-2,F,Thief,30,67914,25,Fighter,8.65,19,2,5
333,59.0,-2,5,F,Fighter,30,32533,31,Thief,10.17,16,3,5
308,87.89,-2,5,F,Mage,20,44784,22,Thief,11.05,16,3,4
318,78.43,3,2,F,Mage,30,48331,25,Mage,11.06,16,3,4
328,61.03,-2,0,F,Thief,30,11682,25,Thief,10.16,15,3,4
318,73.87,3,2,F,Mage,30,42679,34,Mage,10.71,15,3,5
324,14.36,-5,0,M,Fighter,40,89172,41,Mage,9.63,15,3,5
328,59.97,-2,0,F,Thief,30,76049,28,Mage,10.07,16,3,5
342,102.38,5,1,M,Mage,40,39215,39,Mage,11.6,16,4,5
319,69.83,0,-3,M,Mage,40,19235,38,Mage,10.56,16,3,4
